icao,iata,name,city,state,country,elevation,lat,lon,tz
19AK,ICY,Icy Bay Airport,Icy Bay,Alaska,US,50,59.96900177,-141.6620026,America/Anchorage
2AK6,HGZ,Hog River Airport,Hogatza,Alaska,US,534,66.2161026,-155.6690063,America/Anchorage
38WA,BYW,Blakely Island Airport,Blakely Island,Washington,US,66,48.57899857,-122.8259964,America/Los_Angeles
3IS8,BDF,Rinkenberger Restricted Landing Area,Bradford,Illinois,US,808,41.23089981,-89.61569977,America/Chicago
65LA,BCS,Southern Seaplane Airport,Belle Chasse,Louisiana,US,0,29.86610031,-90.02220154,America/Chicago
6OK6,BWL,Earl Henry Airport,Blackwell,Oklahoma,US,1054,36.79589844,-97.31700134,America/Chicago
7NC2,DUF,Pine Island Airport,Corolla,North-Carolina,US,16,36.25350189,-75.78849792,America/New_York
82CL,FOB,Fort Bragg Airport,Fort Bragg,California,US,71,39.47430038,-123.7959976,America/Los_Angeles
ADDE,ALX,Thomas C Russell Field,Alexander City,Alabama,US,686,32.91469955,-85.96299744,America/Chicago
AGAF,AFT,Afutara Aerodrome,Bila,Malaita,SB,23,-9.191388889,160.9486111,Pacific/Guadalcanal
AGAR,RNA,Ulawa Airport,Arona,,SB,40,-9.860543583,161.9795465,Pacific/Guadalcanal
AGAT,ATD,Uru Harbour Airport,Atoifi,,SB,0,-8.873330116,161.0110016,Pacific/Guadalcanal
AGBA,VEV,Barakoma Airport,Barakoma,,SB,0,-7.912779808,156.7059937,Pacific/Guadalcanal
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,Western-Province,SB,24,-8.562027778,158.1193056,Pacific/Guadalcanal
AGEV,GEF,Geva Airport,Liangia,,SB,0,-7.575829983,156.5970001,Pacific/Guadalcanal
AGGA,AKS,Auki Airport,Auki,,SB,5,-8.702569962,160.6820068,Pacific/Guadalcanal
AGGB,BNY,Bellona/Anua Airport,Anua,,SB,60,-11.30222222,159.7983333,Pacific/Guadalcanal
AGGC,CHY,Choiseul Bay Airport,,Choiseul,SB,0,-6.711944,156.396111,Pacific/Guadalcanal
AGGE,BAS,Ballalae Airport,Ballalae,,SB,5,-6.990745,155.886656,Pacific/Guadalcanal
AGGF,FRE,Fera/Maringe Airport,Fera Island,Isabel,SB,0,-8.107500076,159.5769958,Pacific/Guadalcanal
AGGH,HIR,Honiara International Airport,Honiara,Guadalcanal,SB,28,-9.42800045,160.0549927,Pacific/Guadalcanal
AGGI,MBU,Babanakira Airport,Mbambanakira,Guadalcanal,SB,0,-9.74750042,159.8390045,Pacific/Guadalcanal
AGGJ,AVU,Avu Avu Airport,,Guadalcanal,SB,25,-9.868333333,160.4105556,Pacific/Guadalcanal
AGGK,IRA,Ngorangora Airport,Kirakira,,SB,0,-10.44970036,161.897995,Pacific/Guadalcanal
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Temotu,SB,18,-10.72029972,165.7949982,Pacific/Guadalcanal
AGGM,MUA,Munda Airport,,,SB,10,-8.327969551,157.2630005,Pacific/Guadalcanal
AGGN,GZO,Nusatupe Airport,Gizo,,SB,13,-8.097780228,156.8639984,Pacific/Guadalcanal
AGGO,MNY,Mono Airport,Stirling Island,,SB,0,-7.416940212,155.5650024,Pacific/Guadalcanal
